,,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
1,Trabajo en equipo en la red,1,1,1,,,,,,,,,,,,,,,1,,,,,
2,Programación,,,,,,,,,,,,,1,,,,,,,,,,1
3,Lenguajes y estándares web,,,,,,,,1,,,,1,1,1,,,,,,,,,
4,Diseño gráfico,,,1,,1,1,,1,,,,,,,,,,,,,1,,
5,Vídeo,,1,,,1,1,1,,,,1,,,,,,,,,,,,
6,Inglés I,,,,1,,,,,,,,,,,,,,,,,,,
7,Matemáticas para multimedia I,,,,,,,,1,,1,,,,,,,,,,,,1,1
8,Programación web,,,,,,,,,,,,1,1,,1,,,,,,,,
9,Imagen y lenguaje visual,,,,,1,1,,1,,,,,,,,,,,,,1,,
10,Narrativa interactiva,1,,,,,1,1,,,,,,,,,,,,,,,,
11,Inglés II,,,,1,,,,,,,,,,,,,,,,,,,
12,Matemáticas para multimedia II,,,,,,,,1,,,1,,,,,1,,,,1,,1,1
13,Administración y gestión de las organizaciones,,,,,,,,,,,,,,,,,,,1,,1,,
14,Gráficos 3D,,,,,,1,,1,,1,,,,,,,,,,,,,
15,Arquitectura de la información,,,,,,1,1,,1,,,,,1,,,,,,,,,
16,Competencia comunicativa para profesionales de las TIC,1,,,,,,,,,,,,,,,,,,,,,,
17,Física para multimedia,,,,,,,,1,,,,,,,,,,,,,,1,1
18,Fundamentos y evolución de la multimedia,,1,,,1,1,,,1,,,,,,,,1,,1,,,,1
19,Animación,,1,,,1,1,1,,,1,,,,,,,,,,,,,
20,Diseño de interfaces multimedia,,,,,,1,,1,1,,,,,,,,,,,,,,
21,Integración digital de contenidos,,,,,,,,,,,1,1,1,,,,1,,,1,,,
22,Redes multimedia,,,,,,,,,,,,,,,1,1,,,,1,,,
23,Diseño de bases de datos,,,,,,,,,,,,,1,1,,,,,,,,,1
24,Medios interactivos,,1,,,1,1,1,,,,1,,,,,,,,,,,,
25,Tratamiento y publicación de imagen y vídeo,,,,,1,,,,,,1,1,1,,,1,1,,,,,1,1
26,Tratamiento y publicación de audio,,,,,1,,,,,,1,1,1,,,1,1,,,,,1,1
27,Composición digital,,1,,,1,1,1,,,,1,,,,,,,,,,,,
28,Gestión de proyectos,1,,,,,,,,,,,,,,,,,1,,,1,,
29,Mercado y legislación,1,,,,,,,,,,,,,,,,1,,1,,1,,
30,Metodología y desarrollo de proyectos en red,1,,1,,1,,,,,,,,,,,,,1,,1,,,
31,Fotografía digital,,1,,,1,1,,1,,,1,,,,,,,,,,,,
32,Creatividad y estética,1,,,,1,1,,1,,,,1,,,,,,,,,,,
33,Animación 3D,,1,,,1,1,1,,,1,,,,,,,,,,,,,
34,Visualización de información,,,,,,,,1,1,,,1,,1,,,,,,,,,
35,Plataformas de publicación y distribución,,,,,1,,,,,,1,1,,,1,1,1,,,1,,1,
36,Uso de bases de datos,,,,,,,,,,,,,1,1,,,,,,,,,1
37,Sistemas de gestión de contenidos,,,,,,,,,,,,1,1,1,1,,1,,,,,,
38,Documentación audiovisual,1,1,,,1,,,,,,,,,,,,,1,,,,,
39,Programación web avanzada,,,,,,,,,,,,1,1,1,1,,,,,,,,
40,Aplicaciones RichMedia,,,,,,,,,,,,1,1,,,,,,,,,,
41,Seguridad y calidad en servidores web,,,,,,,,,,,,,,,1,,1,,,1,,,
42,Comportamiento de usuarios,,,,1,,,,,1,,,1,,1,,,1,,,,,,
43,Usabilidad,,,,,1,,,,1,,,,,,,,1,,,,,,
44,Realidad virtual,,,,,,,,1,1,1,,,,,1,,,,,,,,
45,Diseño de la interacción,,,,,,1,1,,1,,,1,,,,,,,,,,,
46,Ingeniería del software,,,,,,,,,,,,,1,,1,,,,,,,,
47,Análisis y diseño con patrones,,,,,,,,,,,,,1,,1,,,,,,,,
48,Diseño y programación orientada a objetos,,,,,,,,,,,,,1,,1,,,,,,,,
49,Prácticas I,,1,,,1,,,,,,,,,,,,,,1,1,1,,
50,Prácticas II,,1,,,1,,,,,,,,,,,,,,1,1,1,,
51,Trabajo final de grado I,1,,,,,1,,,,,,,,,,,1,1,,1,,,
52,Trabajo final de grado II,1,,,,,1,,,,,,,,,,,1,1,,1,,,
53,Inglés III,,,,1,,,,,,,,,,,,,,,,,,,
54,Iniciativa emprendedora y dirección de organizaciones,1,,,,,1,,,,,,,,,,,,,1,,1,,