,,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
1,Fundamentos de programación,,,,,,,,,,,,,,,,,1,,,
2,Prácticas de programación,,,,,,,,,,,,,,,,,1,,,
3,Álgebra,,,,,,,,,,,1,1,,,,,,,,
4,Análisis matemático,,,,,,,,,,,1,1,,,,,,,,
5,Fundamentos físicos de la informática,,,,,,,,,,,1,1,,,,,,,,
6,Trabajo en equipo de la red,1,1,,1,,,,,,,,,,,,,,,,
7,Fundamentos de computadores,,,,,,,,,,,,,1,,,,,,,
8,Administración y gestión de organizaciones,,,,,,,,1,,1,,,,,,,,,,
9,Estadística,,,,,,,,,,,1,1,,,,,,,,
10,Lógica,,,,,,,,,,,1,1,,,,,,,,
11,Competencia comunicativa para profesionales de las TIC,1,,,,,,,,,,,,,,,,,,,
12,Idioma moderno I: Inglés I,,,1,,,,,,,,,,,,,,,,,
13,Idioma moderno II: Inglés II,,,1,,,,,,,,,,,,,,,,,
14,Diseño y programación orientada a objetos,,,,,,,,,,,,,,,,,1,,,
15,Ingeniería del software,,,,,,,,,,,,,,,,,,1,1,
16,Sistemas operativos,,,,,,,,,,,,,1,1,,1,1,,,1
17,Uso de base de datos,,,,,,,,,,,,,,,,,,,1,1
18,Grafos y complejidad,,,,,,,,,,,1,1,,,,,,,,
19,Gestión de proyectos,1,,,,,1,1,,1,1,,,,,,,,,,
20,Redes y aplicaciones Internet,,,,,,,,,,,,,,1,1,1,,,,
21,Estructura de computadores,,,,,,,,,,,,,1,1,1,,,,,
22,Inteligencia artificial,,,,,,,,,,,,1,,,,,,,,1
23,Administración de redes y sistemas operativos,,,,,,,,,,,,,1,1,,1,,,,1
24,Interacción persona ordenador,,,,,,,1,,,,,,,,,,1,1,,
25,Diseño de bases de datos,,,,,,,,,,,,,,,,,,,1,1
26,Sistemas distribuidos,,,,,,,,,,,,,,1,1,,,,1,1
27,Trabajo de fin de grado,1,1,,,1,1,1,,1,,,,,,,,,,,
28,Seguridad en redes de computadores,,,,,,,,,,1,,,,1,1,,,,,1
29,Estructura de redes de computadores,,,,,,,,,,,,,,1,1,1,,,,1
30,Diseño de redes de computadores,,,,,,,,,,,,,,1,1,1,,,,1
31,Diseño de sistemas operativos,,,,,,,,,,,,,1,1,,1,1,,,1
32,Sistemas empotrados,,,,,,,,,,,,,,1,1,1,1,,,1
33,Arquitectura de computadores,,,,,,,,,,,,,1,1,,,,,,1
34,Arquitecturas de computadores avanzadas,,,,,1,1,,,1,,,1,,1,,,,,,1
35,Diseño de estructuras de datos,,,,,,,,,,,,1,,,,,1,,,1
36,Ingeniería de requisitos,,,,,,,,,,,,,,,,,1,1,,1
37,Análisis y diseño de patrones,,,,,,,,,,,,,,,,,1,1,,1
38,Ingeniería del software de componentes y sistemas distribuidos,,,,,,,,,,,,,,,,,1,1,,
39,Proyecto de desarrollo del software,,,,1,,1,1,,,,,1,,,,,1,1,1,1
40,Autómatas y gramáticas,,,,,,,,,,,1,1,,,,,1,,,
41,Compiladores,,,,,,,,,,,,1,,,,,1,,1,1
42,Representación del conocimiento,,,,,,,,,,,,1,,,,,,,1,
43,Aprendizaje computacional,,,,,,,,,,,,1,,,,,,,,1
44,Minería de datos,,,,,,,,,,,1,1,,,,,,,,1
45,Iniciativa emprendedora y dirección de organizaciones,1,,,,,1,,1,,1,,,,,,,,,,
46,Fundamentos de sistemas de información,1,,,,,,,1,,,,,,,,,,,,
47,Integración de sistemas de información,1,,,,1,,1,1,1,,,,,,,,1,,,1
48,Uso de sistemas de información en las organizaciones,1,,,1,,1,1,1,1,1,,,,,,,,,,
49,Gestión funcional de servicios SI/TI,1,,,,1,,1,,1,1,,,,,,,,,,
50,Dirección estratégica de SI/TI,1,,,,1,1,,1,1,1,,,,,,,,,,
51,Criptografía,,,,,1,,,,1,,1,,,,,,,,,1
52,Comercio electrónico,,,,,,,,,1,,,,,,1,,,,1,1
53,Modelado de sistemas,,,,,1,,,,,,1,1,,,,,,,,1
54,Arquitectura y administración de bases de datos,,,,,,,,,1,,,,,1,,,,,1,1
55,Iniciación a las matemáticas para la ingeniería,,,,,,,,,,,1,1,,,,,,,,
56,Data warehouse,,,,,,,,,,,1,1,,,,,,,,
57,Prácticas en empresa,1,1,,,1,1,1,,,1,,,,,,,,,,