Código	Nombre	Abreviatura	Siglas	Tipo	Créditos	Módulo	Materia	Semestre relativo
	Historia, teoría y crítica del diseño		HTCD	B	6			2
	Cultura visual y nuevos medios		CVNM	O	6			4
	Antropología del diseño		AD	O	6			5
	Ética y sostenibilidad en el diseño		ESD	B	6			3
	Comunicación: Teorías y técnicas		COM	O	6			3
	Storytelling: Recursos narrativos		S:RN	O	6			4
	Recursos y comunidades digitales		RCD	B	6			1
	Fundamentos del diseño gráfico		FDG	B	6			1
	Taller de forma y composición		TFC	B	6			2
	Taller de color		TC	O	6			2
	Taller de dibujo		TD	O	6			1
	Tipografía		TIP	O	6			2
	Diseño de interacción		DI	B	6			2
	Diseño de interfaces		DIF	O	6			4
	Infografía y visualización		IV	O	6			5
	Programación para el diseño y las artes		PDA	O	6			4
	Producción gráfica		PG	O	6			3
	Producción y publicación digital		PPD	O	6			5
	Técnicas de creatividad e innovación		PCR	B	6			1
	Diseño centrado en las personas		DCP	O	6			3
	Gestión del diseño		GD	O	6			6
	Proyecto I: Identidad y marca		P1	O	6			2
	Proyecto II: Diseño editorial		P2	O	6			3
	Proyecto III: Señalética y digital signage		P3	O	6			4
	Proyecto IV: Portfolio		P4	O	6			5
	Trabajo final de grado		TFG	O	6			6
	Diseño y sociedad		DS	OP	6			5
	Dirección de arte		DA	OP	6			6
	Inglés I		I1	OP	6			5
	Inglés II		I2	OP	6			6
	Tipografía avanzada		TIPA	OP	6			6
	Ilustración		IL	OP	6			6
	Fotografía		F	OP	6			5
	Montaje audiovisual		MA	OP	6			5
	Animación		A	OP	6			6
	Motion graphics		MG	OP	6			6
	Diseño generativo		DG	OP	6			6
	Lenguajes y estándares web		LEW	OP	6			5
	Fabricación digital		FD	OP	6			6
	Packaging		PAC	OP	6			6
	Prácticas		PR	OP	6			6
	Asignatura fantasma							