		1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	Competencia fantasma
1	Historia, teoría y crítica del diseño			1					1		1			1														1		
2	Cultura visual y nuevos medios			1					1		1			1														1		
3	Antropología del diseño			1	1			1	1		1		1																	
4	Ética y sostenibilidad en el diseño			1					1		1	1	1	1																
5	Comunicación: Teorías y técnicas	1		1	1				1												1			1					1	
6	Storytelling: Recursos narrativos	1			1				1				1							1	1									
7	Recursos y comunidades digitales	1	1	1	1		1	1		1									1		1		1						1	
8	Fundamentos del diseño gráfico	1	1				1								1		1					1								
9	Taller de forma y composición	1					1								1		1					1	1							
10	Taller de color	1					1										1					1	1							
11	Taller de dibujo	1					1										1					1	1							
12	Tipografía						1								1		1					1						1		
13	Diseño de interacción						1								1	1		1							1					
14	Diseño de interfaces						1								1	1		1							1					
15	Infografía y visualización			1	1		1	1		1				1							1				1	1	1			
16	Programación para el diseño y las artes		1				1	1		1															1	1	1			
17	Producción gráfica								1			1	1											1				1		
18	Producción y publicación digital						1					1	1											1						
19	Técnicas de creatividad e innovación		1	1				1			1		1		1	1														
20	Diseño centrado en las personas		1	1				1		1	1	1	1			1		1	1											
21	Gestión del diseño		1	1	1				1						1				1	1										
22	Proyecto I: Identidad y marca		1			1	1		1		1	1	1					1	1		1	1							1	
23	Proyecto II: Diseño editorial		1			1	1		1	1			1					1	1					1					1	
24	Proyecto III: Señalética y digital signage		1			1	1		1			1	1					1	1		1			1	1	1			1	
25	Proyecto IV: Portfolio		1			1	1		1	1	1		1					1	1		1	1					1		1	
26	Trabajo final de grado	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	
27	Diseño y sociedad			1					1		1	1	1	1														1		
28	Dirección de arte					1			1						1		1		1											
29	Inglés I							1		1																				
30	Inglés II							1		1																				
31	Tipografía avanzada		1				1			1					1		1					1								
32	Ilustración						1		1						1		1					1								
33	Fotografía						1			1							1						1							
34	Montaje audiovisual				1		1										1						1							
35	Animación						1		1								1						1							
36	Motion graphics					1	1		1								1						1							
37	Diseño generativo		1				1			1															1	1	1			
38	Lenguajes y estándares web		1				1			1															1	1				
39	Fabricación digital		1			1	1		1	1														1	1	1				
40	Packaging		1			1	1		1									1						1					1	
41	Prácticas		1				1		1	1	1								1	1									1	
42	Asignatura fantasma																													