		1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	Competencia fantasma
1	Seminario de historia del arte	1					1						1		1				1					1								
2	Seminario de materialidad y tecnología						1				1								1				1			1						
3	Seminario de contextos y sistemas del arte			1			1	1			1			1	1				1													
4	Seminario de teorías del arte y de la cultura		1				1						1	1		1		1	1													
5	Seminario de cultura visual y nuevos medios			1			1				1					1		1	1													
6	Seminario de investigación artística			1		1					1	1	1						1					1								
7	Taller de escritura y comunicación	1									1	1	1		1		1			1			1			1						
8	Taller de dibujo y expresión gráfica	1								1					1			1		1			1			1	1					
9	Taller de pintura y color	1													1					1			1			1	1					
10	Taller de fotografía e imagen														1					1			1			1	1					
11	Taller de escultura y prácticas espaciales													1	1					1			1			1		1		1		
12	Taller de vídeocreación													1	1					1			1			1			1			
13	Taller de programación e interacción														1					1			1			1				1	1	
14	Taller de arte sonoro														1					1			1			1			1	1	1	
15	Inglés/Francés/Alemán B2.1	1								1	1	1	1																			
16	Inglés/Francés/Alemán B2.2	1								1	1	1	1																			
17	Proyecto I								1				1	1			1				1	1	1		1							
18	Proyecto II							1	1				1	1			1				1	1	1		1							
19	Proyecto III								1	1			1	1			1	1			1	1	1	1	1							
20	Trabajo Final de Grado				1	1	1	1	1			1	1	1			1				1	1	1		1							
21	Procedimientos y técnicas pictóricas								1						1					1						1	1					
22	Prácticas performativas								1	1			1	1						1						1				1		
23	Programación y arte generativo								1											1						1	1	1			1	
24	Interacción e interactividad								1											1						1				1	1	
25	Fabricación digital								1											1						1		1			1	
26	Instalaciones audiovisuales								1											1						1			1		1	
27	Animación								1											1						1			1		1	
28	Prácticas artísticas colaborativas								1											1						1	1		1			
29	Estudios subalternos						1		1	1				1					1					1								
30	Cuerpo y género						1		1							1		1	1													
31	Estética y arte contemporáneo						1		1					1		1		1	1													
32	Arte contemporáneo			1			1									1																
33	El sector de las artes visuales						1								1	1							1									
34	Comisariado							1	1			1				1			1													
35	Arte y educación						1	1	1				1			1	1															
36	Crítica de arte						1	1	1	1						1			1													
37	Archivo, documentación y conservación digital				1		1	1	1				1						1													
38	Prácticas							1	1		1					1			1										1			
39	Asignatura fantasma																															