		1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	16	20	21	22	23	24	25	26	27	28
1	Idioma moderno I: Inglés I									1	1																		
2	Idioma moderno II: Inglés II									1	1																		
3	Uso y aplicación de las TIC						1			1	1								1										
4	Técnicas de expresión, argumentación y negociación									1	1																		
5	Derecho público															1			1										
6	Política y sociedad						1												1										
7	Introducción al derecho									1						1			1										
8	Introducción a la sociología									1									1										
9	Introducción a la psicología									1									1										
10	Fundamentos de criminología						1										1		1										
11	Derecho penal, parte general															1			1										
12	Derecho penal, parte especial						1												1						1				
13	Ejecución y derecho penitenciario								1							1			1			1		1		1			
14	Proceso penal															1			1							1			
15	Teorías criminológicas I								1								1		1	1								1	
16	Teorías criminológicas II						1										1	1	1	1								1	
17	Fenomenología de la criminalidad								1								1		1	1							1	1	
18	Política criminal									1			1						1					1					
19	Victimología						1										1				1		1		1				
20	Políticas públicas de seguridad y prevención						1	1				1									1								
21	Predicción, prevención y tratamiento de la conducta delictiva												1		1				1		1	1	1	1	1				
22	Penología									1				1										1		1		1	
23	Delincuencia juvenil						1					1				1	1		1			1			1	1	1	1	
24	Género y delincuencia													1					1	1				1			1	1	
25	Sociología del derecho																1		1									1	
26	Desviación y control social										1						1		1					1				1	
27	Bases psicosociales en criminología																1					1						1	
28	Psicología criminal																1					1						1	
29	Medicina legal y forense						1				1						1											1	
30	Metodología de las ciencias sociales														1			1	1										
31	Métodos cuantitativos de investigación en criminología						1	1							1			1	1										
32	Métodos cualitativos de investigación en criminología						1	1		1					1			1	1										
33	Análisis de datos						1	1							1			1	1										
34	Prácticum						1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	
35	Trabajo final de grado						1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	
36	Aplicación y evaluación de programas y políticas de seguridad y prevención											1			1	1		1	1		1		1	1				1	
37	Delincuencia y TICs						1											1		1							1		
38	Delincuencia organizada									1								1		1							1		
39	Drogas y delincuencia												1					1		1							1		
40	Delincuencia sexual y violencia										1							1		1							1		
41	Delincuencia económica						1											1		1									
42	Delincuencia y marginalidad											1				1				1	1							1	
43	Intervención social y educativa con el delincuente									1	1					1						1			1	1		1	
44	Seguridad privada						1				1	1		1	1	1					1			1					
45	Sistema policial						1		1			1			1	1				1	1		1	1					
46	Psicología del testimonio								1						1				1									1	
47	Psicología jurídica												1		1				1			1						1	
48	Solución alternativa de conflictos y justicia restaurativa									1			1						1						1	1			
49	Justicia juvenil										1					1			1						1	1			
50	Criminalística						1								1													1	
51	Derechos humanos								1				1			1											1	1	
52	Asignatura fantasma																												