		1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	16	20	21	22	23	24	25	26	27	28	29	30
1	Introducción a la macroeconomía		1				1		1	1							1	1		1						1					
2	Introducción a la microeconomía			1			1		1	1							1	1		1					1		1				
3	Fundamentos de matemáticas	1					1								1	1	1	1	1	1											
4	Fundamentos de estadística	1					1		1						1	1	1	1	1	1											
5	Sociología	1					1	1			1									1	1	1	1	1							
6	Historia económica	1					1				1	1					1	1			1	1	1	1							
7	Introducción a la empresa	1	1				1	1	1								1	1	1					1							
8	Introducción a las competencias TIC	1	1				1		1	1			1				1	1	1												
9	Idioma moderno I: Inglés				1	1	1			1		1	1				1	1												1	
10	Política y sociedad	1		1			1				1										1	1	1	1		1	1				
11	Introducción a Info. financiera de la empresa			1	1		1			1					1		1	1	1											1	
12	Macroeconomía			1			1			1	1	1								1						1					
13	Microeconomía			1			1			1	1			1						1					1			1			
14	Economía del trabajo I	1		1			1				1			1					1	1					1						
15	Estadística aplicada	1	1				1		1	1							1	1	1									1			
16	Introducción a la econometría		1				1		1	1						1	1	1	1										1		
17	Econometría					1	1		1	1						1			1										1	1	
18	Optimización					1	1			1						1			1										1	1	
19	Políticas económicas estructurales			1	1		1				1			1												1		1	1		
20	Política económica coyuntural			1	1		1							1												1		1	1		
21	Evaluación de políticas públicas			1	1		1				1			1			1	1									1	1			
22	Economía del sector público			1	1		1				1			1													1	1	1		
23	Sistema fiscal					1	1			1				1			1	1						1			1				
24	Derecho tributario	1				1	1			1		1								1				1			1				
25	Teoría económica y sociedad	1			1		1				1	1								1				1			1				
26	Economía internacional: Comercio			1	1		1			1				1			1	1			1	1	1		1						
27	Economía internacional: Finanzas			1	1		1			1				1			1	1			1	1	1		1						
28	Estructura económica espaóla			1	1		1		1	1							1	1			1	1	1	1							
29	Estructura económica mundial			1	1		1		1				1				1	1			1	1	1	1							
30	Historia del pensamiento económico	1		1			1				1	1								1	1	1	1			1					
31	Idioma moderno II: Inglés				1	1	1			1		1	1				1	1												1	
32	Trabajo final de grado TFG	1			1	1	1			1	1					1				1								1	1	1	
33	Microeconomía avanzada					1	1				1			1						1					1		1	1			
34	Macroeconomía avanzada					1	1				1					1				1						1				1	
35	Geografía económica	1				1	1			1	1									1	1	1	1			1					
36	Nuevos factores de competitividad		1			1	1				1			1										1	1				1		
37	Economía industrial			1			1			1	1			1						1					1			1			
38	Dirección estratégica		1		1		1					1			1					1									1	1	
39	International management		1			1	1			1		1		1										1	1				1		
40	Economía de la Innovación			1			1				1	1							1							1				1	
41	Economía ecológica			1			1				1										1	1	1	1				1			
42	Alternativas económicas					1	1							1							1	1	1	1	1		1				
43	Desarrollo económico			1			1				1		1											1		1	1			1	
44	Temas actuales de política económica		1	1			1			1																1	1	1	1		
45	Desigualdad y justicia social		1	1			1									1					1	1	1	1					1		
46	Fiscalidad internacional		1				1			1																		1	1	1	
47	Fiscalidad avanzada		1				1									1											1	1	1		
48	Economía del trabajo II	1			1		1						1		1									1	1	1					
49	El mercado de trabajo europeo	1			1		1				1	1												1	1	1					
50	Políticas de ocupación		1				1			1														1			1	1			
51	Economía de la educación			1		1	1				1					1								1					1	1	
52	Trabajo y sociedad del conocimiento	1				1	1				1	1									1	1	1	1					1		
53	Temas actuales del mercado de trabajo		1			1	1						1		1				1						1					1	
54	Teoría de juegos		1			1	1						1		1	1			1										1	1	
55	Análisis de series temporales		1			1	1		1						1	1			1										1	1	
56	Prácticas I			1	1	1	1	1					1		1		1	1	1	1							1			1	
57	Prácticas II			1	1	1	1	1					1		1		1	1	1	1							1			1	
58	Asignatura fantasma																														