		1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	Competencia fantasma
1	Matemáticas I						1																																																
2	Matemáticas II						1																																																
3	Física I								1																																														
4	Fundamentos de programación							1																																															
5	Bases de datos							1																																															
6	Administración y gestión de organizaciones										1																																												
7	Sistemas operativos							1																																															
8	Señales y sistemas I									1																																													
9	Señales y sistemas II									1																																													
10	Inglés B2.1			1	1	1																													1																				
11	Inglés B2.2			1	1	1																													1																				
12	Teoría de circuitos									1																																													
13	Sistemas electrónicos									1																																													
14	Gestión de proyectos												1														1	1		1	1	1	1	1																					
15	Matemáticas para las telecomunicaciones														1																																								
16	Competencia comunicativa para profesionales de las TIC											1															1	1							1																				
17	Trabajo en equipo en la red												1	1															1						1																				
18	Sistemas de comunicación I											1			1	1																																							
19	Redes y Servicios											1					1						1	1	1																														
20	Telemática											1											1	1	1																														
21	Fundamentos de computadores																			1																																			
22	Diseño y programación orientada a objetos												1					1																																					
23	Electrónica digital																			1	1																																		
24	Electrónica de comunicaciones														1	1						1																																	
25	Física II																		1																																				
26	Circuitos de microondas																																					1	1	1															
27	Antenas																																						1	1															
28	Sistemas de comunicación II																																				1				1														
29	Codificación y modulaciones avanzadas																																			1	1		1		1														
30	Redes de fibra ópica																																			1		1		1															
31	Redes de distribución y radiodifusión																																			1	1																		
32	Comunicaciones móviles																																			1	1																		
33	Aplicaciones y servicios multimedia																																			1	1				1														
34	Sistemas distribuidos																																											1			1								
35	Aplicaciones y servicios multimedia																																									1						1							
36	Telecomunicación en el sector del transporte																																									1		1		1									
37	Sistemas de internet																																											1	1	1		1							
38	Comunicaciones móviles																																									1	1			1									
39	Redes de distribución y radiodifusión																																									1	1												
40	Control y gestión de redes																																										1		1			1							
41	Seguridad en redes																																										1			1									
42	Aplicaciones y servicios multimedia																																																1				1		
43	Televisión																																																1	1			1		
44	Sistemas de video																																																	1	1				
45	Procesado de imagen																																																1				1		
46	Procesado de audio																																																1				1		
47	Acústica																																																		1	1			
48	Electroacústica																																																	1	1	1			
49	Comunicaciones móviles																																																1	1					
50	Trabajo Final de Grado																																																					1	
51	Asignatura fantasma																																																						