		1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	16	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34
1	Psicología de la percepción y la emoción		1				1	1	1		1	1						1	1	1									1						
2	Psicología de la atención y la memoria		1				1	1	1		1	1						1		1									1						
3	Psicología del aprendizaje y la motivación		1				1	1	1		1	1						1	1																
4	Psicología del lenguaje		1	1			1	1	1	1	1	1						1				1	1						1						
5	Psicología del pensamiento		1	1			1	1	1	1	1	1						1				1	1						1						
6	Psicología del desarrollo: infancia		1	1				1	1										1	1	1			1	1										
7	Psicología del desarrollo: adolescencia, juventud, edad adulta y envejecimiento		1	1				1	1									1	1	1	1			1											
8	Trastornos del desarrollo		1	1				1	1									1	1	1	1			1	1				1						
9	Procesos psicosociales elementales		1	1			1		1	1	1					1		1	1	1	1	1													
10	Procesos y contextos de diferenciación social		1		1	1	1		1	1	1	1		1	1			1	1	1	1	1					1							1	
11	Procesos grupales y acción colectiva		1			1	1		1	1	1				1	1	1	1	1	1	1	1					1								
12	Fundamentos de investigación en Psicología	1	1	1		1			1	1	1	1					1	1	1									1	1	1				1	
13	Psicobiología I	1					1	1	1									1	1	1	1	1								1					
14	Psicobiología II						1	1	1	1								1		1	1	1	1							1					
15	ePsicología	1					1		1	1	1			1		1		1	1			1													
16	Psicología de la salud			1	1	1	1	1	1		1			1				1	1	1	1								1						
17	Psicología de la educación y de la institución		1					1								1			1	1		1			1										
18	Principios de intervención en educación		1													1			1								1	1	1		1				
19	Dificultades de aprendizaje en la educación escolar		1	1					1	1				1					1				1		1				1						
20	Investigación cuantitativa	1	1	1		1			1	1	1	1					1	1	1									1	1	1				1	
21	Investigación cualitativa	1	1	1		1			1	1	1	1					1	1	1									1	1	1				1	
22	Psicometría		1	1		1												1	1	1	1									1	1			1	
23	Evaluación psicológica		1	1	1	1						1						1	1	1	1			1			1	1	1	1	1	1		1	
24	Personalidad y diferencias individuales		1		1				1	1	1			1	1			1	1	1	1	1					1		1						
25	Psicopatología de adultos		1	1						1	1	1	1	1	1			1	1	1	1			1			1	1	1	1	1				
26	Psicopatología infantojuvenil: evaluación e intervención		1	1						1	1	1	1	1	1			1	1	1	1			1			1	1	1	1	1				
27	Psicología de las organizaciones		1				1	1	1	1				1					1	1	1					1	1	1				1			
28	Psicología y trabajo en el siglo XXI					1	1	1	1	1	1			1	1				1	1	1					1	1	1				1			
29	Psicología del puesto de trabajo y del desarrollo profesional						1	1				1		1	1				1	1	1					1	1	1		1		1	1		
30	Cultura, cambio y desarrollo organizacional					1	1	1	1		1	1		1					1	1	1					1	1	1		1		1	1		
31	Ética, sostenibilidad y diversidad en las organizaciones					1	1	1	1	1	1			1	1				1	1	1						1					1			
32	Psicología fisiológica	1				1	1	1	1	1								1	1	1	1	1	1							1					
33	Historia de la psicología			1	1													1	1															1	
34	Intervención en contextos de educación formal										1				1				1						1		1	1	1	1			1	1	
35	Intervención en contextos de educación no formal										1				1				1						1		1	1	1	1			1	1	
36	Técnicas de intervención y tratamiento psicológico		1	1			1		1						1			1	1	1	1						1	1	1			1	1		
37	Terapia cognitivo-conductual		1						1						1			1	1	1	1						1	1	1	1	1	1	1		
38	Terapias humanistas y psicodinámicas		1						1							1		1	1	1	1						1	1	1	1			1	1	
39	Terapia familiar sistémica		1						1						1			1	1	1	1							1	1	1			1	1	
40	Contextos y estrategias de intervención social		1	1	1		1	1		1	1		1	1	1	1	1	1	1	1		1					1	1	1			1	1	1	
41	Conflicto y mediación		1	1	1		1	1		1	1		1	1	1		1	1	1	1		1					1	1	1			1	1	1	
42	Psicología comunitaria		1	1	1		1	1		1	1		1	1	1			1	1	1		1					1	1	1			1	1	1	
43	Psicología urbana y ambiental		1	1	1		1	1		1	1		1	1	1			1	1	1		1					1	1	1			1	1		
44	Ámbitos profesionales en psicología			1			1	1				1							1	1							1	1							
45	Practicum I		1	1	1		1	1			1	1	1	1	1	1			1	1	1		1				1	1	1	1	1	1			
46	Practicum II		1	1	1		1	1			1	1	1	1	1	1			1	1	1		1				1	1	1	1	1	1			
47	Trabajo final de grado		1	1	1	1	1	1	1	1	1	1					1	1	1	1		1						1	1			1		1	
48	Información y competencia digital en psicología		1	1	1	1	1		1	1						1	1	1	1	1		1							1			1		1	
49	Psicología jurídica		1	1	1		1		1		1			1			1		1								1		1		1	1	1	1	
50	Psicología del testimonio		1	1			1		1									1	1	1							1					1			
51	Bases farmacológicas en psicopatología		1	1			1	1	1	1			1					1	1	1	1	1	1						1	1					
52	Neuropsicología	1					1	1	1									1	1		1		1						1		1				
53	Inglés B2.1															1	1	1																	
54	Inglés B2.2															1	1	1																	
55	Asignatura fantasma																																		