		1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	Competencia fantasma
1	Álgebra	1	1	1	1	1								1										
2	Lógica	1	1	1	1	1								1										
3	Inglés B2.1	1	1	1	1	1		1																
4	Inglés B2.2	1	1	1	1	1		1																
5	Trabajo en equipo en la Red	1	1	1	1	1	1		1	1														
6	Competencia comunicativa para profesionales de las TIC	1	1	1	1	1			1															
7	Empresa y gestión tecnológica	1	1	1	1	1			1			1	1											
8	Iniciativa emprendedora	1	1	1	1	1			1			1	1											
9	Fundamentos de programación	1	1	1	1	1											1							
10	Prácticas de programación	1	1	1	1	1											1							
11	Diseño y programación orientada a objetos	1	1	1	1	1											1							
12	Diseño de estructuras de datos	1	1	1	1	1								1			1			1				
13	Lenguajes y estándares web	1	1	1	1	1											1				1	1		
14	Programación web	1	1	1	1	1					1						1				1			
15	Programación web avanzada	1	1	1	1	1					1		1				1				1			
16	Aplicaciones Interactivas Multiplataforma	1	1	1	1	1					1		1				1				1	1		
17	Desarrollo de aplicaciones móviles	1	1	1	1	1					1						1				1			
18	Metodología del software	1	1	1	1	1												1	1					
19	Análisis y diseño con patrones	1	1	1	1	1				1							1	1						
20	Arquitectura del software	1	1	1	1	1											1	1						
21	Interacción persona ordenador	1	1	1	1	1							1				1	1				1		
22	Uso de bases de datos	1	1	1	1	1													1	1				
23	Diseño de bases de datos	1	1	1	1	1													1	1				
24	Sistemas operativos	1	1	1	1	1									1	1	1			1				
25	Sistemas distribuidos	1	1	1	1	1		1								1			1	1				
26	Cloud computing	1	1	1	1	1					1					1			1	1				
27	Redes y aplicaciones Internet	1	1	1	1	1		1								1								
28	Administración de redes y SO	1	1	1	1	1									1	1				1				
29	Seguridad en redes de computadores	1	1	1	1	1							1			1				1				
30	Comercio electrónico	1	1	1	1	1							1			1			1	1				
31	Fundamentos de computadores	1	1	1	1	1									1									
32	Estructura de computadores	1	1	1	1	1									1	1								
33	Sistemas empotrados	1	1	1	1	1										1	1			1				
34	Fundamentos de SI	1	1	1	1	1			1			1												
35	Prácticas en empresa	1	1	1	1	1	1		1	1	1	1	1	1	1	1	1	1	1	1	1	1		
36	Trabajo final de grado	1	1	1	1	1	1	1	1		1	1	1	1	1	1	1	1	1	1	1	1	1	
37	Asignatura fantasma																							